Artist,Title,Week(s) in Charts,Peak,Week
Vegedream,Ramenez la coupe à la maison,9,62,2021-05-02
Vega & Samra,Hyänen,1,79,2020-12-13
Vasco Rossi,Una canzone d'amore buttata via,1,28,2021-01-10
Vasco Rossi,Se ti potessi dire,1,83,2019-11-03
Vasco Rossi,Dannate nuvole,1,64,2014-03-23
Vanessa Paradis,Il y a,5,56,2010-02-07
Vanessa Mai,Ich sterb für dich,2,67,2016-05-15
Vance Joy,Riptide,40,17,2015-01-25
Van Halen,Jump,14,4,2020-10-11
Valerio Scanu,Per tutte le volte che...,1,30,2010-03-07
Vald feat. Sch,Dernier retrait,1,93,2019-10-20
Vald,Journal perso II,1,91,2019-10-20
Vald,Désaccordé,1,75,2018-02-11
V.V. Brown,Shark In The Water,5,54,2010-05-23
Usher feat. will.i.am,OMG,25,38,2010-10-10
Usher feat. Pitbull,DJ Got Us Fallin' In Love,42,4,2011-06-26
Usher feat. Nicki Minaj,She Came To Give It To You,1,74,2014-07-20
Usher,Scream,20,18,2012-10-21
Usher,More,31,2,2011-11-13
Unheilig,Zeit zu gehen,5,8,2015-01-11
Unheilig,Winter,2,64,2011-01-09
Unheilig,So wie du warst,10,18,2012-05-20
Unheilig,Nachtschicht,1,56,2012-03-11
Unheilig,Geboren um zu leben,84,13,2012-04-15
Unheilig,Für immer,1,57,2010-08-08
Unheilig,Als wär's das erste Mal,1,56,2014-03-16
Ultimo,I tuoi particolari,1,48,2019-02-17
Ulf Nilsson,Little By Little (Lulleaux &amp; George Whyman Remix),2,41,2015-03-01
Ufo361 x Bausa x The Cratez,Schlafen,1,83,2020-03-08
Ufo361 feat. RIN,Next,3,10,2019-05-19
Ufo361 feat. RIN,Low Life,2,14,2021-04-04
Ufo361 feat. RAF Camora,Paradies,4,31,2018-08-26
Ufo361 feat. RAF Camora,Nummer,6,10,2019-09-08
Ufo361 feat. Quavo,VVS,4,25,2018-08-26
Ufo361 feat. Luciano,Gib Gas,2,18,2019-06-02
Ufo361 feat. Gzuz & RAF Camora,Erober die Welt,1,79,2018-04-22
Ufo361 feat. Gzuz,Für die Gang,1,78,2017-04-09
Ufo361 feat. Gunna,On Time,2,22,2019-08-04
Ufo361 feat. Future,Big Drip,4,5,2020-02-16
Ufo361 feat. Data Luv,Shot,4,15,2019-07-28
Ufo361 feat. Data Luv,Angekommen,1,40,2021-04-25
Ufo361 feat. Capital Bra,Power,2,54,2018-04-01
Ufo361 feat. Bonez MC,7,3,7,2021-01-24
Ufo361 feat. Bonez MC,1 Schuss,1,84,2017-12-17
Ufo361 & Ezhel,YKKE,1,64,2019-11-10
Ufo361 & Ezhel,Wir sind Kral,1,78,2019-10-20
Ufo361,Zweifel,1,45,2020-10-11
Ufo361,Wings,2,24,2021-02-28
Ufo361,Tiffany,1,73,2017-11-26
Ufo361,Shit Changed,4,11,2020-08-23
Ufo361,Richard Millie,1,38,2019-08-18
Ufo361,Rich Rich,3,8,2020-03-15
Ufo361,Playlist,3,14,2020-09-06
Ufo361,Pass auf wen du liebst,5,7,2019-04-21
Ufo361,Ohne mich,1,76,2018-04-22
Ufo361,Nur zur Info,5,34,2020-01-26
Ufo361,No Hugs,2,10,2021-02-14
Ufo361,Nice Girl 2.0,1,68,2017-06-25
Ufo361,Kontostand,1,84,2018-04-22
Ufo361,Irina Shayk,3,13,2019-06-30
Ufo361,Games,3,15,2020-10-11
Ufo361,Fokus auf die Zukunft,1,49,2020-04-26
Ufo361,Final Fantasy,2,24,2020-05-03
Ufo361,Emotions,22,3,2020-09-27
Ufo361,Beverly Hills,4,26,2018-03-04
Ufo361,Balenciaga,1,58,2018-03-04
Ufo361,Bad Girls| Good Vibes,3,11,2020-04-05
Ufo361,Anders,1,92,2020-10-11
Ufo361,Allein sein,4,12,2020-05-03
Ufo361,Acker jeden Tag,1,70,2018-05-13
Ufo361,40K,2,37,2018-08-26
Ufo361,04:30,2,39,2019-08-25
Udo Lindenberg feat. Clueso,Cello (MTV Unplugged),1,53,2011-11-20
Udo Jürgens,Ich war noch niemals in New York,3,48,2014-12-28
Udo Jürgens,Griechischer Wein,21,1,2014-12-28
USA For Africa,We Are The World,29,1,2010-04-04
U2 feat. Kendrick Lamar,Get Out Of Your Own Way,1,73,2017-11-12
U2,You're The Best Thing About Me,3,48,2017-12-10
U2,With Or Without You,14,10,2010-10-10
U2,Ordinary Love,19,11,2014-04-27
U2,Invisible,2,22,2014-02-16
U2,I Still Haven't Found What I'm Looking For,9,18,2010-09-26
U2,Beautiful Day,20,6,2010-09-26
Tyler| The Creator,I Think,1,96,2019-05-26
Tyler| The Creator,Earfquake,4,42,2019-06-16
Tyga x YG x Santana,Mamacita,2,67,2019-11-10
Tyga feat. Offset,Taste,34,18,2019-01-27
Tyga feat. J Balvin & Chris Brown,Haute,2,23,2019-06-23
Tyga / Justin Bieber,Wait For A Minute,1,43,2013-11-03
Tyga,Swish,4,76,2018-09-16
Tyga,Goddamn,1,95,2019-05-05
Tyga,Dip,2,84,2018-11-18
Tyga,Ayy Macarena,19,9,2020-03-29
Ty Dolla $ign feat. Post Malone,Spicy,1,72,2020-11-01
Ty Dolla $ign feat. Kanye West| FKA Twigs & Skrillex,Ego Death,1,95,2020-07-12
Twocolors,Lovefool,45,19,2021-05-02
Twenty One Pilots,Stressed Out,58,2,2017-02-19
Twenty One Pilots,Shy Away,1,90,2021-04-18
Twenty One Pilots,Ride,32,22,2017-01-08
Twenty One Pilots,Level Of Concern,1,85,2020-04-19
Twenty One Pilots,Heathens,42,3,2017-04-23
Twenty One Pilots,Chlorine,1,82,2019-03-03
Twelve24 feat. Dawn Elektra,The Word,2,24,2017-01-08
Très Jolie,Bow! (You Gotta Kick It),2,27,2014-02-16
Troye Sivan,Youth,12,56,2016-05-15
Troye Sivan,My My My!,1,65,2018-01-21
TripleNine,Gschichte wärde gschriebe,1,40,2014-02-16
Triggerfinger,I Follow Rivers,33,17,2013-03-24
Trevor Daniel,Falling,32,11,2020-06-28
Trettmann| KitschKrieg & Gzuz,Du weißt,4,45,2019-11-03
Trettmann & KitschKrieg feat. Alli Neumann,Zeit steht,1,39,2019-09-22
Trettmann & KitschKrieg,Bye Bye Aka Delicious,1,63,2019-09-22
