Artist,Title,Week(s) in Charts,Peak,Week
Ramo feat. Bonez MC,Kaktus,1,84,2020-12-20
Rammstein,Zeig dich,1,30,2019-05-26
Rammstein,Radio,5,17,2019-06-16
Rammstein,Mein Land,2,21,2011-12-04
Rammstein,Mein Herz brennt [2012],1,33,2012-12-23
Rammstein,Deutschland,15,1,2019-07-14
Rammstein,Ausländer,4,38,2019-06-16
Rahel Buchhold,Lifeless,1,33,2014-04-27
Rag'n'Bone Man & P!nk,Anywhere Away From Here,1,56,2021-04-18
Rag'n'Bone Man,Skin,43,6,2018-01-07
Rag'n'Bone Man,Human,71,1,2018-01-14
Raffaella Carrà,A far l'amore comincia tu (Liebelei),13,3,2011-05-01
Raffaela Wais,Heaven Only Knows,1,42,2011-12-18
Rae Sremmurd feat. Gucci Mane,Black Beatles,16,4,2017-02-26
Radiohead,Creep,6,39,2012-01-22
Radiohead,Burn The Witch,1,74,2016-05-15
Radical Face,Welcome Home,5,38,2011-07-24
Rachel Platten,Fight Song,16,38,2015-12-13
Ra'is & NGEE,Warum?,1,66,2021-03-07
RZA feat. Xavier Naidoo,Ich kenne nichts (das so schön ist wie du),33,3,2012-03-11
RK feat. Sofiane,C'est mon sang,1,99,2019-03-17
RJ feat. Pitbull,U Know It Ain't Love,2,43,2011-12-25
RIN & Bausa,Keine Liebe,8,7,2020-01-12
RIN,Vintage,3,14,2019-06-16
RIN,Up In Smoke,8,2,2019-10-27
RIN,One Night,1,93,2018-07-01
RIN,Nike,1,59,2018-05-06
RIN,Monica Bellucci,1,91,2017-08-27
RIN,Meer,1,54,2021-03-14
RIN,Hollywood,1,33,2019-12-15
RIN,Fabergé,4,9,2019-10-27
RIN,Dirty South,1,26,2021-01-24
RIN,Dior 2001,11,4,2018-11-04
RIN,Data Love,1,94,2018-01-21
RIN,Das Rennen,3,11,2020-06-28
RIN,Bietigheimication,2,29,2019-12-15
RIN,Alien,3,28,2020-01-12
RAF Camora x Lent,Fefe 488,1,36,2020-01-19
RAF Camora x KC Rebell,OK| OK,2,32,2020-01-26
RAF Camora feat. Ghetto Phenomene,Puta madre,10,4,2019-12-22
RAF Camora feat. Gentleman,Roots,2,52,2017-09-10
RAF Camora feat. Bonez MC| Gzuz & Ufo361,Waffen,1,47,2017-12-24
RAF Camora feat. Bonez MC,Unnormal,5,13,2019-12-08
RAF Camora feat. Bonez MC,Alles probiert,1,88,2017-07-30
RAF Camora & Bonez MC,Es geht voran,2,25,2020-01-26
RAF Camora & AriBeatz feat. Sofiane,Perfekt,9,7,2019-10-27
RAF Camora,Vendetta,5,7,2019-11-10
RAF Camora,Sag nix,7,14,2018-01-28
RAF Camora,Primo,18,16,2018-01-21
RAF Camora,Maserati,2,27,2018-05-06
RAF Camora,Maschine,3,14,2020-02-02
RAF Camora,In meiner Zone 2.0,2,25,2018-11-11
RAF Camora,Gotham City,4,21,2018-01-14
RAF Camora,Corleone,4,17,2018-03-18
RAF Camora,Andere Liga,5,40,2017-09-24
RAF Camora,Adriana,9,5,2019-12-01
R3hab x A Touch Of Class,All Around The World (La La La),22,39,2020-04-19
R.I.O. feat. U-Jean,Turn This Club Around,20,1,2012-02-19
R.I.O. feat. U-Jean,Summer Jam,17,2,2013-01-13
R.I.O. feat. U-Jean,Ready Or Not,1,64,2013-06-30
R.I.O. feat. U-Jean,One In A Million,1,62,2014-07-13
R.I.O. feat. U-Jean,Komodo (Hard Nights),1,45,2013-10-13
R.I.O. feat. U-Jean,Animal,2,51,2011-12-18
R.I.O. feat. Nicco,Party Shaker,23,6,2012-11-04
R.I.O.,Miss Sunshine,2,43,2011-06-05
R.I.O.,Living In Stereo,1,32,2013-03-31
R.I.O.,Like I Love You,3,28,2013-06-09
R.E.M.,Oh My Heart,2,60,2011-03-27
R. City feat. Adam Levine,Locked Away,31,2,2016-03-27
Queen vs. The Miami Project,Another One Bites The Dust,10,78,2019-03-10
Queen & David Bowie,Under Pressure,5,10,2016-01-17
Queen,Thank God It's Christmas,7,36,2021-01-03
Queen,Don't Stop Me Now,22,52,2019-05-12
Queen,Bohemian Rhapsody,76,4,2020-10-18
Quavo feat. Drake,Flip The Switch,1,80,2018-10-21
Quavo feat. 21 Savage,Pass Out,1,71,2018-10-21
Pápai Joci,Origo,1,70,2017-05-21
Purple Disco Machine & Sophie And The Giants,Hypnotized,33,18,2021-05-02
Psy,Gentleman,17,3,2013-08-18
Psy,Gangnam Style,42,1,2013-07-28
Pronto,Sorry,1,72,2019-10-20
Pronto,Ride,1,71,2021-03-21
Pronto,Priceless,5,30,2020-07-19
Pronto,Baga,1,96,2019-11-10
Professor Green feat. Emeli Sandé,Read All About It,3,58,2011-12-11
Prince Royce & Shakira,Deja vu,1,92,2017-04-02
Prince Kay One feat. Victoria Swarovski,Beautiful,1,64,2014-10-05
Prince Kay One feat. The Product G&B,V.I.P.,3,10,2013-08-04
Prince Kay One feat. Emory,Keep Calm - Fuck U,1,30,2013-11-03
Prince Kay One and Patrick Miller,United,1,19,2014-06-22
Prince Damien,Glücksmoment,2,7,2016-05-22
Prince And The Revolution,Purple Rain,16,4,2016-05-08
Prince And The New Power Generation,Cream,16,3,2016-05-01
Prince & The Revolution,Sometimes It Snows In April,1,64,2016-05-01
Prince & The Revolution,Kiss,12,3,2016-05-01
Prince,When Doves Cry,10,17,2016-05-01
Prince,"Sign ""☮"" The Times",16,11,2016-05-01
Powfu feat. Beabadoobee,Death Bed,31,13,2020-10-04
Post Malone feat. Young Thug,Goodbyes,19,12,2019-11-17
Post Malone feat. Ty Dolla $ign,Psycho,16,11,2018-06-17
Post Malone feat. Quavo,Congratulations,9,77,2017-07-16
Post Malone feat. 21 Savage,Rockstar,49,2,2018-10-21
Post Malone & Swae Lee,Sunflower,34,22,2019-08-18
Post Malone,Wow.,27,11,2019-07-07
Post Malone,Saint-Tropez,6,29,2019-10-27
Post Malone,I Fall Apart,2,94,2017-12-03
Post Malone,Hollywood's Bleeding,1,17,2019-09-15
Post Malone,Circles,40,10,2020-06-07
Post Malone,Candy Paint,1,97,2017-12-10
Post Malone,Better Now,46,12,2019-03-24
Portugal. The Man,Feel It Still,51,7,2018-07-08
Pop Smoke feat. Rowdy Rebel,Make It Rain,1,84,2020-06-21
Pop Smoke feat. Lil Tjay,Mood Swings,16,11,2020-11-29
Pop Smoke feat. Lil Baby & DaBaby,For The Night,35,7,2021-03-07
Pop Smoke feat. A Boogie Wit Da Hoodie,Hello,8,53,2021-02-07
Pop Smoke feat. 50 Cent & Roddy Ricch,The Woo,10,14,2020-09-13
Pop Smoke,What You Know Bout Love,27,8,2021-04-04
Pop Smoke,Got It On Me,1,52,2020-07-19
Pop Smoke,Gangstas,2,28,2020-07-19
Pop Smoke,Dior,26,42,2021-02-28
Pop Smoke,AP,1,41,2021-03-07
Poo Bear feat. Justin Bieber & Jay Electronica,Hard 2 Face Reality,1,88,2018-04-15
Polo's Schmetterding,Vermisse di,1,94,2017-07-30
Polo Hofer und die Schmetterband,Im letschte Tram,1,73,2017-07-30
Polo Hofer und die Schmetterband,Alperose,6,24,2017-08-06
Polo Hofer,Wyssebüehl,1,69,2017-07-30
Polo G,Rapstar,3,14,2021-05-02
Polina Gagarina,A Million Voices,1,39,2015-05-31
Plüsch,'s kennt ne kene so gnau,1,62,2011-12-11
Playboi Carti,@ MEH,1,53,2020-04-26
Play69 feat. Samra,Gestern nix heute Star,1,55,2020-11-29
Plastik Funk,Everybody Dance Now! 2011,1,67,2011-05-29
Plan B,She Said,21,16,2010-12-05
Placebo,Too Many Friends,7,36,2013-10-20
Pixie Lott,Mama Do,15,34,2011-10-09
Pixie Lott,Cry Me Out,1,66,2010-01-17
Pitbull feat. TJR,Don't Stop The Party,2,59,2012-12-02
Pitbull feat. T-Pain,Hey Baby (Drop It To The Floor),35,21,2011-10-16
Pitbull feat. Shakira,Get It Started,2,32,2012-08-05
Pitbull feat. Ne-Yo| Afrojack & Nayer,Give Me Everything,45,2,2012-04-01
Pitbull feat. Marc Anthony,Rain Over Me,42,3,2012-04-22
Pitbull feat. Ke$ha,Timber,37,3,2015-03-22
Pitbull feat. John Ryan,Fireball,6,51,2014-11-16
Pitbull feat. Jennifer Lopez & Cláudia Leitte,We Are One (Ole Ola),16,2,2014-08-03
Pitbull feat. Christina Aguilera,Feel This Moment,34,7,2013-09-08
Pitbull feat. Chris Brown,International Love,26,13,2012-07-08
Pitbull feat. Chris Brown,Fun,4,50,2015-08-16
Pitbull feat. Akon,Shut It Down,8,41,2010-04-25
Pitbull / Daddy Yankee / Natti Natasha,No lo trates,1,74,2019-05-05
Pitbull & Ne-Yo,Time Of Our Lives,20,35,2015-08-02
Pitbull & Ne-Yo,Me quedaré contigo,1,74,2019-10-06
Pitbull & J Balvin feat. Camila Cabello,Hey Ma,12,30,2017-06-04
Pitbull,I Know You Want Me (Calle Ocho),38,2,2010-03-21
Pitbull,Hotel Room Service,24,11,2010-02-28
Pitbull,Bon| bon,3,47,2011-06-19
Pitbull,Back In Time,26,6,2012-10-14
"Pinto ""Wahin"" & DJ Ricky Luna feat. El Taiger",La Habana,1,58,2017-04-23
Pietro Lombardi,Warum,1,23,2021-01-24
Pietro Lombardi,Que sera sera,1,49,2011-06-12
Pietro Lombardi,Phänomenal,5,8,2018-06-24
Pietro Lombardi,Nur ein Tanz,2,8,2019-03-03
Pietro Lombardi,Mein Herz,1,27,2017-01-15
Pietro Lombardi,Macarena,1,6,2019-08-11
Pietro Lombardi,Kämpferherz,3,25,2020-05-31
Pietro Lombardi,Es tut schon wieder weh,1,32,2020-02-16
Pietro Lombardi,Down,1,43,2011-06-12
Pietro Lombardi,Cinderella,4,21,2020-08-16
Pietro Lombardi,Call My Name,9,1,2011-07-17
Pietro Lombardi,Bella Donna,2,11,2019-05-19
Pietro Basile feat. Sarah,Ich liebe nur dich,3,24,2019-10-06
Philipp Poisel,Wie soll ein Mensch das ertragen,8,16,2014-03-16
Philipp Poisel,Ich will nur [Live],2,60,2015-11-29
Philipp Poisel,Eiserner Steg,2,25,2012-04-29
Philipp Dittberner & Marv,Wolke 4,20,20,2015-11-15
Philip George,Wish You Were Mine,14,37,2015-05-17
Phil Collins,Going Back,1,50,2011-01-30
Pharrell Williams x Camila Cabello,Sangria Wine,1,92,2018-05-27
Pharrell Williams,Marilyn Monroe,12,46,2014-08-17
Pharrell Williams,Happy,80,1,2015-07-12
Pharrell Williams,Freedom,15,26,2015-10-18
Petit Biscuit,Sunset Lover,33,44,2019-07-07
Peter Brandenberger,Livin' It Up,1,26,2014-04-27
Perry Como & The Fontane Sisters,It's Beginning To Look A Lot Like Christmas,2,65,2019-12-29
Percy Sledge,When A Man Loves A Woman,6,21,2015-04-19
Pentatonix,Hallelujah,21,7,2021-01-03
Pegasus feat. Anna Rossinelli,Victoria Line,8,19,2020-09-06
Pegasus,Technology,13,31,2012-01-15
Pegasus,Streets Of My Hometown,6,21,2016-01-10
Pegasus,Skyline,20,1,2013-06-16
Pegasus,Rise Up (Black Dog),2,48,2011-10-09
Pegasus,Metropolitans,11,23,2018-07-01
Pegasus,Man On Mars,15,33,2012-08-19
Pegasus,Lay Low,6,49,2015-08-02
Pegasus,Last Night On Earth,14,7,2015-02-08
Pegasus,I Take It All,22,18,2015-03-08
Pegasus,Get Over You,4,76,2017-12-31
Pegasus,Fragments,3,34,2017-02-26
Pegasus,Digital Kids,6,7,2014-04-27
Pegasus,Better Man,1,71,2020-11-01
Pedro Capó,Calma,46,2,2020-01-12
Pearl Jam,Sirens,2,49,2013-10-27
Peach Weber,Nachem Räägne...,1,66,2013-06-09
Paulo Londra,Adán y Eva,14,47,2019-04-07
Paula Dalla Corte feat. Rea Garvey & Samu Haber,Someone Better,7,3,2021-02-07
Paula & Ovi,Playing With Fire,1,51,2010-06-13
Paul McCartney,Wonderful Christmastime,10,19,2021-01-03
Paul Kalkbrenner,Das Gezabel,1,33,2012-08-19
Paul Kalkbrenner,Cloud Rider,2,53,2015-08-16
Paul & Fritz Kalkbrenner,Sky And Sand,3,56,2012-12-02
Patrick Miller,Dancing In London,12,13,2012-09-16
Patent Ochsner,Zucker + Zitrone,1,73,2012-07-08
Patent Ochsner,W. Nuss vo Bümpliz,23,16,2019-07-28
Patent Ochsner,Scharlachrot,12,38,2019-07-28
Patent Ochsner,Gummiboum,4,55,2012-09-16
Patent Ochsner,Für immer uf di,38,2,2021-03-07
Patent Ochsner,Dr Zug (fahrt us dr Stadt),1,78,2019-04-21
Patent Ochsner,Ausklaar,4,35,2015-08-02
Pat Farrell feat. Adam Hardy,Tripping On You,1,99,2017-06-11
Passenger,Sword From The Stone,1,70,2021-01-17
Passenger,Survivors,1,54,2018-09-09
Passenger,Let Her Go,88,1,2015-02-08
Passenger,Holes,4,70,2013-12-08
Pashanim,Airwaves,22,13,2020-10-18
Partyhelden feat. Sängerfreunde,Dini Seel ä chli la bambälä la,1,72,2017-08-27
PartyNextDoor feat. Drake,Loyal,1,90,2019-12-01
PartyNextDoor & Rihanna,Believe It,7,24,2020-05-24
Parov Stelar,All Night,3,57,2014-09-21
Paolo Nutini,Scream (Funk My Life Up),2,56,2014-04-13
Panic! At The Disco,High Hopes,59,3,2020-01-05
Paloma Faith,New York,20,15,2010-04-11
PNL,À l'ammoniaque,3,17,2018-07-15
PNL,Onizuka,1,90,2016-11-13
PNL,Naha,6,35,2016-10-30
PNL,Mowgli II,2,41,2019-06-16
PNL,Deux frères,3,18,2019-05-12
PNL,Dans la légende,2,55,2016-10-09
PNL,Blanka,1,52,2019-04-21
PNL,Bené,3,68,2016-10-16
PNL,Autre monde,1,20,2019-04-14
PNL,Au DD,11,2,2019-06-09
PNL,91's,3,22,2018-09-02
PLK feat. Niska,On sait jamais,2,37,2020-09-13
PLK feat. Hamza,Pilote,5,42,2020-10-18
PLK,Un peu de haine,2,44,2019-09-29
PLK,Dans les clips,1,71,2020-09-06
PA Sports| Jamule & Kianush feat. Hamzo 500 & FOURTY & Rua,Squad X Showtime,1,72,2021-03-14
PA Sports x Capital Bra,Hell,3,12,2021-02-14
PA Sports feat. Jamule,Doublecup,2,40,2021-03-28
PA Sports,Sieben Jahre,1,73,2020-11-15
PA Sports,Adé,1,72,2021-02-28
PA Sports,100 Bars Final Kill,1,83,2020-11-29
P!nk feat. Nate Ruess,Just Give Me A Reason,48,2,2014-06-29
P!nk feat. Lily Allen,True Love,11,50,2013-10-27
P!nk feat. Khalid,Hurts 2B Human,1,59,2019-05-05
P!nk feat. Eminem,Revenge,1,40,2017-10-22
P!nk feat. Cash Cash,Can We Pretend,4,76,2019-10-27
P!nk + Willow Sage Hart,Cover Me In Sunshine,11,5,2021-05-02
P!nk,Whatever You Want,1,79,2017-10-15
P!nk,What About Us,35,1,2018-04-15
P!nk,Walk Me Home,21,8,2019-08-18
P!nk,Try,41,2,2013-07-28
P!nk,Today's The Day,1,48,2015-09-20
P!nk,Raise Your Glass,17,9,2011-03-20
P!nk,Just Like Fire,15,33,2016-08-21
P!nk,I Don't Believe You,9,33,2010-04-11
P!nk,Hustle,1,75,2019-04-07
P!nk,Funhouse,17,8,2010-02-14
P!nk,F**kin' Perfect,21,15,2011-07-03
P!nk,Bridge Of Light,15,8,2012-03-25
P!nk,Blow Me (One Last Kiss),17,15,2012-11-11
P!nk,Beautiful Trauma,13,46,2018-03-11
P!nk,Bad Influence,6,44,2010-08-01
P!nk,A Million Dreams,6,16,2018-12-09
Ozuna x Manuel Turizo,Vaina loca,8,63,2018-10-21
Ozuna x Doja Cat x Sia,Del mar,3,51,2020-09-27
Ozuna x Anitta,Muito calor,1,80,2019-07-21
Ozuna,Me dijeron,1,95,2018-09-02
Ozuna,Caramelo,17,42,2020-10-11
Ozuna,Baila baila baila,36,14,2019-09-22
Owl City and Carly Rae Jepsen,Good Time,23,4,2013-01-20
Owl City,Fireflies,32,4,2010-08-01
Otto Knows,Next To Me,4,52,2015-07-19
Otto Knows,Million Voices,13,19,2013-04-21
Orelsan feat. Ibeyi,Notes pour trop tard,1,42,2017-10-29
Orelsan feat. Damso,Rêves bizarres,3,15,2018-12-09
Orelsan,San,2,38,2017-11-05
Orelsan,La famille| la famille,1,98,2018-11-25
Orelsan,Défaite de famille,2,40,2017-11-05
Orelsan,Basique,2,69,2017-11-05
Orelsan,Adieu les filles,1,100,2018-11-25
Open Season feat. Guillaume Hoarau,Stand Together (tous ensemble),2,41,2018-05-27
OneRepublic with Seeb,Rich Love,21,33,2017-12-10
OneRepublic feat. Logic,Start Again,7,53,2018-07-15
OneRepublic,Wherever I Go,24,29,2016-11-06
OneRepublic,Wanted,1,37,2019-09-15
OneRepublic,Something I Need,15,21,2014-03-16
OneRepublic,Secrets,25,19,2010-10-03
OneRepublic,Rescue Me,37,21,2020-04-19
OneRepublic,No Vacancy,22,34,2017-10-01
OneRepublic,Marchin On,13,37,2010-10-10
OneRepublic,Love Runs Out,28,3,2015-01-11
OneRepublic,Let's Hurt Tonight,12,26,2017-03-26
OneRepublic,Kids,13,45,2016-12-11
OneRepublic,If I Lose Myself,16,9,2013-06-30
OneRepublic,Good Life,25,14,2011-05-08
OneRepublic,Feel Again,9,34,2012-11-25
OneRepublic,Didn't I,3,38,2020-04-05
OneRepublic,Counting Stars,63,9,2014-11-02
OneRepublic,Connection,1,92,2018-07-08
OneRepublic,Better Days,1,53,2020-04-05
OneRepublic,All The Right Moves,40,2,2010-10-03
One Direction,You &amp; I,2,23,2014-06-01
One Direction,What Makes You Beautiful,34,16,2013-02-10
One Direction,Story Of My Life,25,13,2014-04-27
One Direction,Steal My Girl,16,21,2015-01-25
One Direction,Perfect,14,12,2016-01-31
One Direction,One Way Or Another (Teenage Kicks),10,7,2013-05-12
One Direction,Night Changes,1,46,2014-11-23
One Direction,Midnight Memories,1,54,2013-12-08
One Direction,Live While We're Young,13,7,2013-01-20
One Direction,Little Things,1,38,2012-11-25
One Direction,Kiss You,6,45,2013-03-03
One Direction,Infinity,4,34,2015-10-25
One Direction,History,1,52,2015-11-15
One Direction,Drag Me Down,22,2,2016-01-03
One Direction,Best Song Ever,8,11,2013-09-29
Omi,Hula Hoop,20,37,2016-02-07
Omi,Cheerleader (Felix Jaehn Remix),54,1,2016-02-14
Olly Murs feat. Travie McCoy,Wrapped Up,13,18,2015-02-08
Olly Murs feat. Rizzle Kicks,Heart Skips A Beat,29,1,2012-07-29
Olly Murs feat. Flo Rida,Troublemaker,22,8,2013-09-01
Olly Murs feat. Demi Lovato,Up,20,28,2015-06-07
Olly Murs,You Don't Know Love,3,90,2016-11-06
Olly Murs,Dear Darlin',24,5,2014-02-09
Olivia Rodrigo,Drivers License,16,2,2021-05-02
Olivia Rodrigo,Deja Vu,4,41,2021-05-02
Oliver Heldens x Becky Hill,Gecko (Overdrive),9,23,2014-10-19
Olexesh feat. Edin,Magisch,17,47,2018-06-17
Olexesh feat. Capital Bra,Frisch aus dem Block,1,70,2018-03-11
Olexesh feat. Bonez MC,Schüsse aus'm Benz,1,91,2018-03-11
Olexesh & Nimo,Augen Husky,3,34,2019-10-06
Olexesh & Jala Brat & Buba Corelli,Lalala,1,95,2019-09-22
Olexesh,Déjàvus im Kopf,1,42,2020-06-28
Olexesh,Barrio,3,52,2019-06-09
Olexesh,9mm Bang,1,94,2019-08-25
Ole ohne Kohle,Ich bin kein Model und kein Superstar,1,49,2012-06-17
Offset & Metro Boomin,Ric Flair Drip,5,74,2018-04-08
Ofenbach vs. Nick Waterhouse,Katchi,39,6,2018-06-17
Ofenbach feat. Lagique,Wasted Love,8,13,2021-05-02
Ofenbach & Quarterhead feat. Norma Jean Martine,Head Shoulders Knees &amp; Toes,38,6,2021-05-02
Ofenbach,Be Mine,51,6,2018-02-11
Of Monsters And Men,Little Talks,31,24,2013-08-18
Of Monsters And Men,Dirty Paws,1,75,2014-01-12
Octavian & Skepta,Papi chulo,4,66,2020-11-22
Oceana,Endless Summer,12,6,2012-09-02
Oasis,Don't Look Back In Anger,10,27,2017-06-11
O.T. Genasis,CoCo,2,64,2015-02-08
Noizy feat. RAF Camora,Toto,9,4,2018-08-19
Noizy feat. Gzuz & Dutchavelli,All Dem Talk,2,16,2020-07-12
Noizy feat. Capo,Mitten in Frankfurt,1,78,2017-06-11
Noah [DE],Kal kal,1,68,2019-09-01
Noah Cyrus,July,3,77,2020-03-29
No Doubt,Settle Down,3,48,2012-10-21
Niska feat. Ninho,Méchant,3,24,2019-09-29
Niska feat. Booba,Tuba Life,2,29,2017-10-08
Niska feat. Booba,Médicament,8,43,2019-06-02
Niska,W.L.G,2,85,2018-08-26
Niska,Salé,6,62,2017-11-19
Niska,Réseaux,29,23,2018-05-06
Niska,Mr Sal,2,41,2019-09-22
Niska,Medellín,4,30,2017-10-22
Niska,Du lundi au lundi,1,68,2019-07-28
Niska,Bâtiment,2,40,2019-09-22
Nio Garcia + Casper Magico + Darell,Te boté,26,38,2018-11-11
Ninho feat. Niska,Maman ne le sait pas,5,24,2019-04-28
Ninho feat. Nekfeu,De l'autre côté,1,71,2017-09-17
Ninho feat. Griff,Every Day,1,55,2020-03-15
Ninho feat. Damso,Promo,2,35,2020-03-22
Ninho,Tout en Gucci,2,90,2020-11-15
Ninho,M.I.L.S 3,1,77,2020-03-08
Ninho,Lettre à une femme,8,4,2020-05-03
Ninho,La zone,1,83,2020-10-11
Ninho,La vie qu'on mène,2,30,2019-04-07
Ninho,La puerta,1,94,2020-03-22
Ninho,Goutte d'eau,6,26,2019-04-07
Ninho,Elle m'a eu,1,97,2017-09-17
Ninho,Carbozo 2.0,1,88,2020-09-20
Ninho,Caramelo,1,73,2017-09-17
Nimo x Luciano,Bad Eyez,10,13,2021-05-02
Nimo feat. Ramo,Alles zu viel,1,67,2020-06-07
Nimo & Rina,Trendsetter,2,41,2020-05-17
Nimo & Luciano,Star,1,79,2019-12-29
Nimo & Hava,Kein Schlaf,9,3,2020-02-09
Nimo & Capo,Zoey,2,36,2019-01-06
Nimo & Capo,Shem Shem &amp; Sex,2,44,2019-01-27
Nimo & Capo,Roadrunner,1,92,2019-02-03
Nimo & Capo,Leyla,2,53,2019-03-03
Nimo & Capo,Lean,1,43,2018-10-21
Nimo & Capo,Dunkel,1,49,2019-03-31
Nimo,Zart,1,53,2021-04-18
Nimo,Wo du,1,38,2021-01-31
Nimo,Remember,1,60,2020-03-15
Nimo,Nur wegen dir,2,39,2020-03-01
Nimo,LFR,1,78,2017-04-30
Nimo,Karma,12,2,2020-03-08
Nimo,Heute mit mir,6,66,2017-07-23
Nikless & Before We Go feat. Maurice,Shattered Dreams,1,90,2017-10-15
Nightwish,Élan,1,33,2015-02-22
Nightwish,Storytime,1,31,2011-11-27
Nicole Scherzinger,Your Love,1,67,2014-07-27
Nicole Scherzinger,Don't Hold Your Breath,3,62,2011-05-15
Nicole Bernegger,The Fool,3,31,2013-11-24
Nicole Bernegger,No Matter,3,4,2013-04-14
Nicole Bernegger,Don't Stay Away,1,68,2015-05-03
Nico Santos & Topic,Like I Love You,3,54,2020-05-31
Nico Santos,Safe,16,36,2018-11-04
Nico Santos,Rooftop,29,5,2018-07-15
Nico Santos,Play With Fire,11,66,2020-05-17
Nico & Vinz,Am I Wrong,36,7,2014-11-02
Nicky Jam x Ozuna,Te robaré,20,28,2019-08-11
Nicky Jam x J Balvin,X,33,3,2018-10-21
Nicky Jam x Anuel AA,Whine Up,3,66,2019-11-24
Nicky Jam feat. Will Smith & Era Istrefi,Live It Up,10,32,2018-08-05
Nicky Jam & Enrique Iglesias,El perdón,64,1,2016-08-07
Nicky Jam & Daddy Yankee,Muévelo,5,68,2020-02-16
Nicky Jam,El amante,29,31,2017-08-20
Nickless,Waiting,22,14,2016-03-13
Nicki Minaj| Drake & Lil Wayne,No Frauds,1,50,2017-03-19
Nicki Minaj feat. Eminem & Labrinth,Majesty,1,56,2018-08-19
Nicki Minaj feat. Ariana Grande,Bed,5,39,2018-07-22
Nicki Minaj,Va Va Voom,4,47,2013-04-28
Nicki Minaj,Super Bass,3,58,2011-09-25
Nicki Minaj,Starships,31,5,2012-10-07
Nicki Minaj,Pound The Alarm,6,44,2012-09-30
Nicki Minaj,Chun-Li,1,99,2018-04-22
Nicki Minaj,Anaconda,6,55,2014-10-05
Nickelback,When We Stand Together,18,6,2012-03-18
Nickelback,What Are You Waiting For?,22,7,2015-02-08
Nickelback,This Afternoon,1,69,2010-09-12
Nickelback,Lullaby,9,45,2012-05-20
Nickelback,If Today Was Your Last Day,13,30,2010-04-04
Nick Jonas vs. Robin Schulz,Right Now,1,72,2018-09-02
Nick Jonas feat. Tove Lo,Close,14,39,2016-07-10
Nick Howard,Unbreakable,2,26,2013-01-06
Nick Ferretti,Anyone Else,1,47,2019-05-05
Nica & Joe,Build A Palace,1,75,2011-12-18
Niall Horan,Too Much To Ask,3,37,2017-10-29
Niall Horan,This Town,7,40,2016-11-20
Niall Horan,Slow Hands,16,47,2017-08-27
Niall Horan,Nice To Meet Ya,1,95,2019-10-13
New World Sound & Thomas Newson,Flute,1,59,2014-03-16
Neverage,You Can,1,41,2015-11-08
Neverage,I Know You're There,1,26,2015-07-26
Nevada feat. Mark Morrison & Fetty Wap,The Mack,11,66,2017-02-05
Netta,Toy,1,34,2018-05-20
Nero,Promises,4,34,2012-08-12
Nena,In meinem Leben,2,18,2010-05-02
Nena,Genau jetzt,1,50,2016-04-17
Nemo [CH],Usserirdisch,1,64,2017-09-10
Nemo [CH],Kunstwärch,1,90,2018-01-28
Nemo [CH],Ke Bock,28,31,2018-02-18
Nemo [CH],Himalaya,12,27,2017-02-19
Nemo [CH],Du,32,4,2018-04-15
Nemo [CH],Crush uf di,1,77,2018-12-16
Nemo [CH],5i uf de Uhr,2,31,2019-01-27
Nelly Furtado,Waiting For The Night,7,29,2013-01-20
Nelly Furtado,Spirit Indestructible,7,32,2012-10-14
Nelly,Just A Dream,31,22,2011-04-24
Nelly,Hey Porsche,13,34,2013-07-21
Nekfeu feat. Vanessa Paradis,Dans l'univers,2,29,2019-06-23
Nekfeu feat. Sneazzy & S.Pri Noir,Saturne,1,76,2016-12-18
Nekfeu feat. Nemir,Elle pleut,2,32,2019-06-23
Nekfeu feat. Damso,Tricheur,4,12,2019-07-07
Nekfeu,Squa,2,67,2016-12-18
Nekfeu,Mauvaise graine,2,72,2016-12-18
Nekfeu,Humanoïde,1,69,2016-12-11
Nek,Fatti avanti amore,1,39,2015-02-22
Neiked feat. Dyo,Sexual,5,95,2017-01-29
Nea,Some Say,61,5,2021-05-02
Ne-Yo,One In A Million,7,52,2010-12-26
Ne-Yo,Let Me Love You (Until You Learn To Love Yourself),5,55,2012-11-25
Ne-Yo,Beautiful Monster,20,15,2011-04-03
Naza feat. Niska,Joli bébé,12,19,2020-12-06
Nav & Gunna feat. Travis Scott,Turks,2,63,2020-04-12
Naughty Boy feat. Sam Smith,La La La,34,2,2014-02-16
Naughty Boy feat. Emeli Sandé & Professor Green,Lifted,3,61,2013-12-22
Naughty Boy feat. Beyoncé & Arrow Benjamin,Runnin' (Lose It All),24,23,2017-10-08
Naturi Naughton,Fame,6,24,2010-02-14
Natti Natasha x Ozuna,Criminal,7,91,2018-03-18
Nathaniel Rateliff & The Night Sweats,S.O.B.,23,9,2016-04-10
Nathan Evans,Wellerman,14,1,2021-05-02
Natasha Bedingfield,Pocketful Of Sunshine,13,43,2011-09-04
"Natalie Cole| Nat ""King"" Cole & The London Symphony Orchestra",The Christmas Song (Chestnuts Roasting On An Open Fire),3,39,2021-01-03
Natalia Kills,Mirrors,6,52,2011-05-15
Nash feat. Azet,Leben schnell,1,92,2019-08-25
Nash & Azet,Kristall,1,99,2020-12-13
Nash & Azet,Crack| Koks| Piece Unternehmen,3,32,2019-03-17
Naps feat. Ninho,6.3,4,37,2020-03-22
